INFO: 2017-06-21 10:11:11 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 269 | TimLog::logInfo | succ to delete older log file: TIM_Firmware_Update.log
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 0D 01 40 F4 E8 10 10 48 60 08 46 00 68 40 F0 80 70 08 60 00 BF 45 48 00 68 00 F0 00 70 00 28 F9 D0 42 48 40 68 20 F0 10 03 00 40 49 48 60 08 46 40 68 40 F0 10 02 00 48 60 00 BF 3C 48 40 68 00 F0 0C 00 08 28 5A 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 0D 00 01 3F 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 0E 01 F9 D1 0C BD 10 10 B5 FF F7 91 FF 10 10 BD 10 10 B5 36 48 00 68 40 F0 01 00 34 49 08 60 08 46 40 68 34 49 08 40 31 49 48 60 08 46 00 68 32 49 08 40 2E 49 08 60 08 46 00 68 20 F4 80 20 08 60 08 46 40 68 DE 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 0E 00 01 3C 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 0F 01 20 F4 FE 00 48 60 4F F4 1F 00 88 60 FF F7 DA FF 4F F0 00 60 28 49 08 60 10 10 BD 10 10 B5 00 21 00 20 00 22 21 4B 5B 68 10 03 F0 0C 01 21 B1 04 29 06 D0 08 29 28 D1 07 E0 21 4B 21 4C 23 60 27 E0 1F 4B C0 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 0F 00 01 3D 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 10 10 01 1F 4C 23 60 23 E0 18 4B 5B 68 10 03 F4 70 10 10 16 4B 5B 68 10 03 F4 80 32 10 02 23 10 03 EB 90 40 22 B9 19 4B 43 43 17 4C 23 60 0D E0 0F 4B 5B 68 10 03 F4 00 33 23 B1 14 4B 43 43 12 4C 23 60 10 03 E0 0F 4B 43 43 8B 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 10 00 01 22 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 11 01 0F 4C 23 60 10 03 E0 0D 4B 0D 4C 23 60 00 BF 00 BF 05 4B 5B 68 C3 F3 10 03 13 0B 4C E1 5C 08 4B 1B 68 CB 40 07 4C 23 60 10 10 BD 00 10 10 10 02 40 00 20 10 02 40 00 00 FF F8 FF FF F6 FE 08 ED 00 E0 00 12 7A 00 28 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 11 00 01 23 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 12 01 00 00 00 20 00 09 3D 00 04 00 00 20 31 49 01 43 31 4A 11 60 70 47 70 B5 00 21 00 23 0F 22 C4 78 04 B3 2D 4C 24 68 04 F4 E0 64 C4 F5 E0 64 21 0A C1 F1 04 10 03 CA 40 44 78 04 FA 10 03 F1 84 78 14 40 53 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 12 00 01 20 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 13 01 21 43 09 01 25 4C 06 78 A1 55 04 78 04 F0 1F 05 01 24 AC 40 05 78 6D 11 AD 00 05 F1 E0 25 C5 F8 00 41 09 E0 04 78 04 F0 1F 05 01 24 AC 40 1C 4D 06 78 76 11 45 F8 26 40 70 BD 1A 4A 0A 40 10 02 43 E2 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 13 00 01 21 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 14 01 15 4B 1B 1F 1A 60 70 47 39 B1 13 4A 12 1D 12 68 10 02 43 11 4B 1B 1D 1A 60 06 E0 0F 4A 12 1D 12 68 82 43 0D 4B 1B 1D 1A 60 70 47 04 28 08 D1 4F F0 E0 21 09 69 41 F0 04 01 4F F0 E0 22 11 61 07 E0 1A 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 14 00 01 26 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 15 01 4F F0 E0 21 09 69 21 F0 04 01 4F F0 E0 22 11 61 70 47 00 00 00 00 FA 05 0C ED 00 E0 00 E4 00 E0 80 E1 00 E0 80 FF FF 1F 10 10 B5 04 46 CC 48 84 42 08 D1 01 21 04 20 00 F0 2E FB 00 21 04 20 00 F0 DC 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 15 00 01 27 03 
